Reference, Value, Footprint, Datasheet, Manufacturer, Manufacturer Part #, Digikey Part #, NOTE:
"P1","Power","Socket_Arduino_Uno:Socket_Strip_Arduino_1x08",""
"P2","Analog","Socket_Arduino_Uno:Socket_Strip_Arduino_1x06",""
"P4","Digital","Socket_Arduino_Uno:Socket_Strip_Arduino_1x08",""
"P3","Digital","Socket_Arduino_Uno:Socket_Strip_Arduino_1x10",""
"OA1","LT6200-10","TO_SOT_Packages_SMD:SOT-23-6","http://www.analog.com/media/en/technical-documentation/data-sheets/62001ff.pdf","Linear Technology/Analog Devices","LT6200CS6-10#TRMPBF","LT6200CS6-10#TRMPBFCT-ND","1.6GHz GBWP - 12V Max"
"C14","2.2 uF","Ben_Custom:0508_Capacitor","http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=TWK212B7225MD-T&fileName=TWK212B7225MD-T_SS&mode=specSheetDownload","Taiyo Yuden","TWK212B7225MD-T","587-5165-1-ND","Lower GHz impedance than pair of 0402 caps in SPICE"
"C16","2200 pF","Capacitors_SMD:C_0603","https://psearch.en.murata.com/capacitor/product/GCM188R71H222KA37%23.pdf","Murata Electronics North America","GCM188R71H222KA37D","490-4931-1-ND","50V ±10% "
"Q1","Q_NMOS_GDS","Ben_Custom:IRFH5104_PQFN_5x6b","https://www.infineon.com/dgdl/irfh5104pbf.pdf?fileId=5546d462533600a40153561add341ea4","Infineon Technologies","IRFH5104TR2PBF","IRFH5104TR2PBFCT-ND","40V 100A 114W max - can be replaced with IRFH5006TRPBFCT-ND"
"C20","22 uF","Ben_Custom:2_J-lead_stacked_cap","http://psearch.en.murata.com/capacitor/product/KCM55WR71J226MH01%23.pdf","Murata Electronics North America","KCM55WR71J226MH01K","490-5839-1-ND","63V reverse geometry"
"C18","22 uF","Ben_Custom:2_J-lead_stacked_cap","http://psearch.en.murata.com/capacitor/product/KCM55WR71J226MH01%23.pdf","Murata Electronics North America","KCM55WR71J226MH01K","490-5839-1-ND","63V reverse geometry"
"FL1","4.7uH","Ben_Custom:Wurth_Coupled_Inductor","http://katalog.we-online.de/pbs/datasheet/74489440047.pdf","Wurth Electronics Inc.","74489440047","732-2603-1-ND"," "
"Reg1","LT8330","TO_SOT_Packages_SMD:SOT-23-6","http://www.analog.com/media/en/technical-documentation/data-sheets/8330fa.pdf?domain=www.linear.com","Linear Technology/Analog Devices","LT8330IS6#TRMPBF","LT8330IS6#TRMPBFCT-ND"," "
"C5","1 uF","Capacitors_SMD:C_0805","http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=HMK212BC7105KG-TE&fileName=HMK212BC7105KG-TE_SS&mode=specSheetDownload","Taiyo Yuden","HMK212BC7105KG-TE","587-5018-1-ND","Low ESL (same as 0603) - 100V"
"D1","D_Schottky","Diodes_SMD:D_SOD-323F","https://assets.nexperia.com/documents/data-sheet/PMEG6010CEH_PMEG6010CEJ.pdf","Nexperia USA Inc.","PMEG6010CEJ,115","1727-3882-1-ND","Recommended"
"R5","1Meg","Resistors_SMD:R_0805","http://www.yageo.com/documents/recent/PYu-RT_1-to-0.01_RoHS_L_9.pdf","Yageo","RT0805FRE071ML","YAG3361CT-ND","50 ppm/oC  ±1%"
"R6","154k","Resistors_SMD:R_0603","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","Panasonic Electronic Components","ERJ-3EKF1543V","P154KHCT-ND","±1% ±100ppm/°C"
"C1","4.7 uF","Capacitors_SMD:C_0805","https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C2012X5R1H475M125AB","TDK Corporation","C2012X5R1H475M125AB","445-5981-1-ND"," 50V max - low ESL"
